City,Year,Latitude,Longitude
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Guadalajara,1476,20.6720375,-103.338396
Guadalajara,1481,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Monterrey,1495,25.6802019,-100.315258
Guadalajara,1480,20.6720375,-103.338396
Monterrey,1496,25.6802019,-100.315258
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Monterrey,1495,25.6802019,-100.315258
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Guadalajara,1476,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Monterrey,1496,25.6802019,-100.315258
Guadalajara,1480,20.6720375,-103.338396
Guadalajara,1480,20.6720375,-103.338396
Monterrey,1500,25.6802019,-100.315258
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Monterrey,1494,25.6802019,-100.315258
Montserrat,1499,16.7417041,-62.1916844
Monterrey,1494,25.6802019,-100.315258
Guadalajara,1482,20.6720375,-103.338396
Guadalajara,1481,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Guadalajara,1482,20.6720375,-103.338396
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Monterrey,1500,25.6802019,-100.315258
Montserrat,1499,16.7417041,-62.1916844
Guadalajara,1480,20.6720375,-103.338396
Montserrat,1499,16.7417041,-62.1916844
Montserrat,1500,16.7417041,-62.1916844
